                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                  2.479,                 1.4786,                 1.0529,                0.72926,                 0.4902,                0.58424,                0.17662,                 2.5488,                 1.7423,                 1.0937,              0.0016067,              0.0016067,              0.0016067
                     90,                 2.5213,                 1.3758,                 1.0232,                0.68298,                0.54916,                0.59412,                0.21756,                 2.3171,                 1.6527,                 1.0509,              0.0016232,              0.0016232,              0.0016232
                     91,                 2.3366,                 1.2673,                0.93746,                0.68298,                0.54916,                0.59412,                0.21756,                 2.3171,                 1.6527,                 1.0509,              0.0016396,              0.0016396,              0.0016396
                     92,                 2.4165,                 1.3429,                0.90796,                0.76702,                0.52941,                 0.5889,                0.21719,                 2.3427,                 1.6447,                 1.0474,               0.001656,               0.001656,               0.001656
                     93,                 2.2394,                  1.255,                 0.9186,                0.76702,                0.52941,                 0.5889,                0.21719,                 2.3427,                 1.6447,                 1.0474,              0.0016724,              0.0016724,              0.0016724
                     94,                 1.8632,                 1.2912,                0.95108,                0.71018,                0.47059,                 0.5422,                0.20426,                 2.5144,                 1.4857,                 1.0981,              0.0016887,              0.0016887,              0.0016887
                     95,                 2.1287,                 1.1819,                0.94689,                0.71018,                0.47059,                 0.5422,                0.20426,                 2.5144,                 1.4857,                 1.0981,               0.001705,               0.001705,               0.001705
                     96,                 2.1547,                 1.2113,                0.98168,                0.73879,                0.52941,                0.58116,                0.19127,                 2.5749,                 1.3308,                 1.1308,              0.0017213,              0.0017213,              0.0017213
                     97,                 1.9005,                 1.0854,                0.95009,                0.73879,                0.52941,                0.58116,                0.19127,                 2.5749,                 1.3308,                 1.1308,              0.0017375,              0.0017375,              0.0017375
                     98,                 1.9275,                 1.2471,                0.96407,                0.78458,                0.50003,                0.56889,                0.19349,                  2.526,                 1.3204,                 1.1346,              0.0017537,              0.0017537,              0.0017537
                     99,                 2.0889,                 1.2568,                0.93256,                0.78458,                0.50003,                0.56889,                0.19349,                  2.526,                 1.3204,                 1.1346,              0.0017698,              0.0017698,              0.0017698
                    100,                 2.0605,                 1.2788,                0.92771,                0.66404,                0.47059,                0.51749,                0.18177,                 2.3859,                 1.4274,                  1.102,              0.0017859,              0.0017859,              0.0017859
                    101,                 1.8672,                 1.1271,                0.92949,                0.66404,                0.47059,                0.51749,                0.18177,                 2.3859,                 1.4274,                  1.102,               0.001802,               0.001802,               0.001802
                    102,                 2.0602,                 1.3014,                0.95203,                0.57659,                0.41176,                 0.4607,                0.16955,                  2.358,                 1.5754,                 1.1022,               0.001802,               0.001802,               0.001802
                    103,                 2.0717,                 1.2024,                0.93409,                0.57659,                0.41176,                 0.4607,                0.16955,                  2.358,                 1.5754,                 1.1022,                 0.0018,                 0.0018,                 0.0018
                    104,                 2.0133,                 1.1811,                0.89564,                0.56271,                0.41176,                0.44518,                0.17029,                 2.3491,                 1.7711,                 1.0951,               0.001798,               0.001798,               0.001798
                    105,                 2.0764,                 1.2572,                0.94782,                0.56271,                0.41176,                0.44518,                0.17029,                 2.3491,                 1.7711,                 1.0951,              0.0017961,              0.0017961,              0.0017961
                    106,                 2.0702,                 1.2529,                0.95119,                0.62215,                0.37255,                0.44595,                0.16744,                 2.4754,                  1.831,                 1.1322,              0.0017941,              0.0017941,              0.0017941
                    107,                 2.0391,                 1.1673,                0.91178,                0.62215,                0.37255,                0.44595,                0.16744,                 2.4754,                  1.831,                 1.1322,              0.0017921,              0.0017921,              0.0017921
                    108,                 2.2485,                  1.296,                0.91199,                0.56444,                0.33333,                0.42077,                0.15396,                 2.5579,                 1.7939,                  1.159,              0.0017901,              0.0017901,              0.0017901
                    109,                 2.4887,                 1.2621,                0.92608,                0.56444,                0.33333,                0.42077,                0.15396,                 2.5579,                 1.7939,                  1.159,              0.0017881,              0.0017881,              0.0017881
                    110,                 1.8742,                 1.1246,                0.93135,                0.50687,                0.47059,                 0.4659,                0.17201,                 2.5335,                 1.4828,                 1.1401,              0.0017862,              0.0017862,              0.0017862
                    111,                 2.1481,                 1.2131,                0.88376,                0.50687,                0.47059,                 0.4659,                0.17201,                 2.5335,                 1.4828,                 1.1401,              0.0017842,              0.0017842,              0.0017842
                    112,                 1.7294,                 1.0655,                0.89601,                0.57688,                 0.4902,                0.49843,                0.19505,                  2.415,                 1.3301,                 1.0951,              0.0017822,              0.0017822,              0.0017822
                    113,                 1.8728,                 1.1132,                0.96221,                0.57688,                 0.4902,                0.49843,                0.19505,                  2.415,                 1.3301,                 1.0951,              0.0017802,              0.0017802,              0.0017802
                    114,                 1.9158,                 1.1126,                0.88931,                0.61642,                0.62745,                0.62214,                0.21981,                 2.3325,                 1.3044,                 1.0753,              0.0017782,              0.0017782,              0.0017782
                    115,                  1.987,                 1.2639,                 1.0411,                0.61642,                0.62745,                0.62214,                0.21981,                 2.3325,                 1.3044,                 1.0753,              0.0017763,              0.0017763,              0.0017763
                    116,                  2.134,                 1.1647,                0.90571,                0.71998,                0.62745,                0.66538,                0.23943,                 2.2754,                 1.3202,                 1.0548,              0.0017743,              0.0017743,              0.0017743
                    117,                 1.9381,                 1.0774,                 0.8866,                0.71998,                0.62745,                0.66538,                0.23943,                 2.2754,                 1.3202,                 1.0548,              0.0017723,              0.0017723,              0.0017723
                    118,                 2.0022,                 1.1201,                0.92729,                0.80171,                0.62745,                0.70344,                0.23911,                  2.199,                 1.3063,                 1.0264,              0.0017703,              0.0017703,              0.0017703
                    119,                 1.9518,                 1.1255,                0.94666,                0.80171,                0.62745,                0.70344,                0.23911,                  2.199,                 1.3063,                 1.0264,              0.0017683,              0.0017683,              0.0017683
                    120,                 2.0691,                 1.1243,                0.88892,                0.67481,                0.64706,                0.68967,                0.23532,                 2.1989,                 1.2986,                 1.0231,              0.0017664,              0.0017664,              0.0017664
                    121,                 1.9714,                 1.2035,                0.93929,                0.67481,                0.64706,                0.68967,                0.23532,                 2.1989,                 1.2986,                 1.0231,              0.0017644,              0.0017644,              0.0017644
                    122,                 1.8849,                 1.2149,                 0.8678,                0.65183,                0.66084,                0.68737,                0.23594,                   2.24,                 1.3189,                 1.0277,              0.0017624,              0.0017624,              0.0017624
                    123,                 2.1014,                 1.1792,                0.93226,                0.65183,                0.66084,                0.68737,                0.23594,                   2.24,                 1.3189,                 1.0277,              0.0017604,              0.0017604,              0.0017604
                    124,                 1.8034,                 1.1387,                0.95642,                0.58995,                0.67712,                0.66218,                 0.2273,                 2.3299,                 1.3127,                 1.0614,              0.0017584,              0.0017584,              0.0017584
                    125,                 1.8778,                 1.1331,                0.91127,                0.58995,                0.67712,                0.66218,                 0.2273,                 2.3299,                 1.3127,                 1.0614,              0.0017565,              0.0017565,              0.0017565
                    126,                 1.9881,                 1.1808,                0.94685,                 0.7237,                0.45098,                0.54726,                0.17918,                  2.478,                 1.3271,                 1.1389,              0.0017545,              0.0017545,              0.0017545
                    127,                 2.0703,                 1.1427,                0.93021,                 0.7237,                0.45098,                0.54726,                0.17918,                  2.478,                 1.3271,                 1.1389,              0.0017525,              0.0017525,              0.0017525
                    128,                 2.1041,                 1.1471,                0.93878,                0.63307,                0.50749,                0.56634,                0.18591,                 2.4534,                 1.2917,                 1.1377,              0.0017505,              0.0017505,              0.0017505
                    129,                 1.8709,                 1.0378,                0.93219,                0.63307,                0.50749,                0.56634,                0.18591,                 2.4534,                 1.2917,                 1.1377,              0.0017485,              0.0017485,              0.0017485
                    130,                 1.9473,                 1.0839,                0.91393,                0.60543,                0.58824,                0.60822,                0.21001,                 2.3754,                  1.301,                 1.0832,              0.0017466,              0.0017466,              0.0017466
                    131,                 1.9673,                  1.109,                0.87627,                0.60543,                0.58824,                0.60822,                0.21001,                 2.3754,                  1.301,                 1.0832,              0.0017446,              0.0017446,              0.0017446
                    132,                 2.1808,                 1.2125,                0.88473,                0.57142,                0.58824,                0.55486,                  0.194,                 2.3719,                 1.3576,                 1.0688,              0.0017426,              0.0017426,              0.0017426
                    133,                 1.9966,                 1.1637,                0.97955,                0.57142,                0.58824,                0.55486,                  0.194,                 2.3719,                 1.3576,                 1.0688,              0.0017406,              0.0017406,              0.0017406
                    134,                 1.9095,                 1.0132,                0.91904,                0.61604,                0.54902,                0.54712,                0.18286,                 2.3971,                 1.4249,                 1.0705,              0.0017386,              0.0017386,              0.0017386
                    135,                 1.9892,                 1.1349,                0.91495,                0.61604,                0.54902,                0.54712,                0.18286,                 2.3971,                 1.4249,                 1.0705,              0.0017367,              0.0017367,              0.0017367
                    136,                 2.2425,                  1.268,                 1.0071,                0.68093,                0.58824,                0.59691,                0.19963,                 2.4007,                  1.448,                 1.0881,              0.0017347,              0.0017347,              0.0017347
                    137,                 1.9396,                 1.0824,                0.91919,                0.68093,                0.58824,                0.59691,                0.19963,                 2.4007,                  1.448,                 1.0881,              0.0017327,              0.0017327,              0.0017327
                    138,                 1.8658,                 1.0028,                0.88783,                0.65127,                0.58824,                0.58138,                0.18692,                 2.4227,                 1.4425,                 1.1204,              0.0017307,              0.0017307,              0.0017307
                    139,                 1.9621,                 1.1009,                0.89628,                0.65127,                0.58824,                0.58138,                0.18692,                 2.4227,                 1.4425,                 1.1204,              0.0017287,              0.0017287,              0.0017287
                    140,                 1.8173,                 1.0012,                0.90835,                0.58698,                0.61315,                0.57804,                0.18498,                 2.5018,                 1.3693,                 1.1341,              0.0017268,              0.0017268,              0.0017268
                    141,                 1.8867,                 1.0842,                0.94248,                0.58698,                0.61315,                0.57804,                0.18498,                 2.5018,                 1.3693,                 1.1341,              0.0017248,              0.0017248,              0.0017248
                    142,                 2.1196,                 1.1255,                0.93261,                0.58853,                0.62745,                 0.6095,                0.21118,                 2.4372,                 1.3507,                  1.093,              0.0017228,              0.0017228,              0.0017228
                    143,                 1.6896,                0.95218,                0.94313,                0.58853,                0.62745,                 0.6095,                0.21118,                 2.4372,                 1.3507,                  1.093,              0.0017208,              0.0017208,              0.0017208
                    144,                 1.7583,                 1.0302,                0.93091,                 0.6428,                0.63522,                0.63914,                0.21749,                 2.4343,                 1.3278,                 1.0786,              0.0017188,              0.0017188,              0.0017188
                    145,                 1.9668,                 1.1022,                0.89748,                 0.6428,                0.63522,                0.63914,                0.21749,                 2.4343,                 1.3278,                 1.0786,              0.0017169,              0.0017169,              0.0017169
                    146,                 1.8697,                 1.0416,                0.90877,                0.69391,                0.60784,                0.62927,                0.20267,                 2.4952,                 1.3261,                 1.0688,              0.0017149,              0.0017149,              0.0017149
                    147,                 2.0233,                 1.1101,                0.91995,                0.69391,                0.60784,                0.62927,                0.20267,                 2.4952,                 1.3261,                 1.0688,              0.0017129,              0.0017129,              0.0017129
                    148,                 1.9003,                 1.1942,                0.91207,                0.68384,                0.58824,                0.61021,                0.20066,                 2.4234,                 1.3485,                 1.0521,              0.0017109,              0.0017109,              0.0017109
                    149,                 2.0944,                 1.1741,                  0.912,                0.68384,                0.58824,                0.61021,                0.20066,                 2.4234,                 1.3485,                 1.0521,              0.0017089,              0.0017089,              0.0017089
                    150,                 1.9473,                 1.0576,                0.90079,                0.66753,                0.58824,                0.60171,                0.22391,                 2.3032,                 1.3568,                 1.0333,               0.001707,               0.001707,               0.001707
